"E","Ssqrd","Sz","mx","my"
-6.452903609064404,6,2.0,2,2
-6.371224531297864,6,2.0,2,2
-6.104467850664835,6,2.0,2,2
-5.985271207619272,6,2.0,2,2
-5.701081502751785,6,2.0,2,2
-7.63021316259124,6,2.0,2,3
-6.263644968561572,6,2.0,2,3
-6.195616553702299,6,2.0,2,3
-6.1769413670714375,6,2.0,2,3
-6.148869021330062,12,2.0,2,3
-5.588493707983757,6,2.0,2,3
-7.765674255667697,6,2.0,3,0
-6.2636449685615965,6,2.0,3,0
-6.19561655370256,6,2.0,3,0
-6.176941367072669,6,2.0,3,0
-5.929058840067612,12,2.0,3,0
-5.346538767774183,6,2.0,3,0
-7.477053302195197,6,2.0,3,1
-6.495975874381859,6,2.0,3,1
-6.3712245312979014,6,2.0,3,1
-6.077776461999139,6,2.0,3,1
-5.864920805414288,12,2.0,3,1
-5.577715456048263,6,2.0,3,1
-7.6302131625912315,6,2.0,3,2
-6.263644968561557,6,2.0,3,2
-6.1956165537022985,6,2.0,3,2
-6.176941367068448,6,2.0,3,2
-6.1488690213301265,12,2.0,3,2
-5.588493708072957,6,2.0,3,2
-7.477053302195227,6,2.0,3,3
-6.4959758743818465,6,2.0,3,3
-6.371224531297889,6,2.0,3,3
-6.0777764619991155,6,2.0,3,3
-5.864920805414617,12,2.0,3,3
-5.577715456061633,6,2.0,3,3
-9.517687983937286,6,1.0,0,0
-7.432605406057716,2,1.0,0,0
-7.432605406057624,2,1.0,0,0
-6.776769498134179,6,1.0,0,0
-6.2716176300983575,2,1.0,0,0
-6.231479211714043,6,1.0,0,0
-8.794378908137542,2,1.0,0,1
-7.765674255667786,6,1.0,0,1
-7.389958179620346,2,1.0,0,1
-6.659100547476839,2,1.0,0,1
-6.386656005937632,2,1.0,0,1
-6.269614008012667,2,1.0,0,1
-8.518283596238119,2,1.0,0,2
-7.477053302195183,6,1.0,0,2
-7.3743978428830586,2,1.0,0,2
-6.776769498087817,6,1.0,0,2
-6.7353701115329265,2,1.0,0,2
-6.671459868118035,2,1.0,0,2
-8.794378908137528,2,1.0,0,3
-7.765674255667703,6,1.0,0,3
-7.389958179620352,2,1.0,0,3
-6.659100547476838,2,1.0,0,3
-6.386656005937599,2,1.0,0,3
-6.269614007994592,2,1.0,0,3
-8.794378908137523,2,1.0,1,0
-7.765674255667725,6,1.0,1,0
-7.38995817962034,2,1.0,1,0
-6.659100547476861,2,1.0,1,0
-6.386656005937668,2,1.0,1,0
-6.269614008106269,2,1.0,1,0
-8.518283596238076,2,1.0,1,1
-7.477053302195187,6,1.0,1,1
-7.43260540605768,2,1.0,1,1
-6.735370111948584,2,1.0,1,1
-6.671459869759841,2,1.0,1,1
-6.495975871748227,6,1.0,1,1
-8.886442407806511,2,1.0,1,2
-7.630213162591241,6,1.0,1,2
-7.389958179620352,2,1.0,1,2
-6.587694931481043,2,1.0,1,2
-6.386656005937635,2,1.0,1,2
-6.29082665898293,2,1.0,1,2
-8.518283596238065,2,1.0,1,3
-7.477053302195172,6,1.0,1,3
-7.432605406057676,2,1.0,1,3
-6.735370111948591,2,1.0,1,3
-6.6714598697556475,2,1.0,1,3
-6.495975873775513,6,1.0,1,3
-8.518283596238087,2,1.0,2,0
-7.477053302195161,6,1.0,2,0
