"E","Sz","mx","my"
-13.1874834215576,-1.0,1,3
-12.56053985572604,-1.0,1,3
-12.471788538125208,-1.0,1,3
-12.471147114119757,-1.0,1,3
-13.984563816096927,-1.0,2,0
-13.40058370658258,-1.0,2,0
-13.080261968334085,-1.0,2,0
-13.039823276016005,-1.0,2,0
-12.46182622323941,-1.0,2,0
-12.450361050453193,-1.0,2,0
-14.011534349431642,-1.0,2,1
-13.262632158850968,-1.0,2,1
-12.960081147918748,-1.0,2,1
-12.598622830518691,-1.0,2,1
-12.476617465399121,-1.0,2,1
-12.390486844630281,-1.0,2,1
-14.814249039535575,-1.0,2,2
-13.784563862511193,-1.0,2,2
-13.222398194553092,-1.0,2,2
-12.782671580174364,-1.0,2,2
-12.752027164324781,-1.0,2,2
-12.27564633327512,-1.0,2,2
-14.011534349431683,-1.0,2,3
-13.262632158851014,-1.0,2,3
-12.960081147918823,-1.0,2,3
-12.598622830518677,-1.0,2,3
-12.476617465399201,-1.0,2,3
-12.390486847418034,-1.0,2,3
-13.941920485675459,-1.0,3,0
-13.246752018788355,-1.0,3,0
-13.080775540739655,-1.0,3,0
-12.74916272469582,-1.0,3,0
-12.586855878842114,-1.0,3,0
-12.573340218334415,-1.0,3,0
-14.273836468762784,-1.0,3,1
-13.439563871704244,-1.0,3,1
-13.028917708179918,-1.0,3,1
-12.476610191858109,-1.0,3,1
-12.361709041737857,-1.0,3,1
-12.35744740808509,-1.0,3,1
-16.128502515445952,-1.0,3,2
-14.10784284012285,-1.0,3,2
-13.30226524034886,-1.0,3,2
-12.771965241787791,-1.0,3,2
-12.678030685108205,-1.0,3,2
-12.663109329179305,-1.0,3,2
-14.273836468762743,-1.0,3,3
-13.439563871704198,-1.0,3,3
-13.028917708179891,-1.0,3,3
-12.476610191858075,-1.0,3,3
-12.361709041198235,-1.0,3,3
-12.357447402077598,-1.0,3,3
-13.98456381609699,-1.0,4,0
-13.400583706582601,-1.0,4,0
-13.080261968334112,-1.0,4,0
-13.039823276016048,-1.0,4,0
-12.461826223129268,-1.0,4,0
-12.450361050509763,-1.0,4,0
-14.011534349431694,-1.0,4,1
-13.262632158850986,-1.0,4,1
-12.960081147918762,-1.0,4,1
-12.598622830518678,-1.0,4,1
-12.476617465399155,-1.0,4,1
-12.390486845819725,-1.0,4,1
-14.814249039535618,-1.0,4,2
-13.784563862511202,-1.0,4,2
-13.222398194553143,-1.0,4,2
-12.782671580174346,-1.0,4,2
-12.752027164324707,-1.0,4,2
-12.275646335766943,-1.0,4,2
-14.011534349431685,-1.0,4,3
-13.262632158851005,-1.0,4,3
-12.96008114791873,-1.0,4,3
-12.598622830518691,-1.0,4,3
-12.4766174653993,-1.0,4,3
-12.390486847259993,-1.0,4,3
-14.690018210659264,-1.0,5,0
-13.975322315289251,-1.0,5,0
-12.866245824335387,-1.0,5,0
-12.772696942208361,-1.0,5,0
-12.475436850622387,-1.0,5,0
-12.384805938331944,-1.0,5,0
-14.001773704437221,-1.0,5,1
-13.272338497032367,-1.0,5,1
-13.187483421557644,-1.0,5,1
-12.560539855726033,-1.0,5,1
-12.47178853781948,-1.0,5,1
-12.471147113784829,-1.0,5,1
-14.092100418288148,-1.0,5,2
-13.243889287077582,-1.0,5,2
-13.232268407019765,-1.0,5,2
-12.843456756680222,-1.0,5,2
-12.814875074663775,-1.0,5,2
-12.390785848284155,-1.0,5,2
-14.001773704437182,-1.0,5,3
-13.272338497032408,-1.0,5,3
-13.187483421557685,-1.0,5,3
-12.56053985572605,-1.0,5,3
-12.471788538017096,-1.0,5,3
-12.471147112409952,-1.0,5,3
-15.310907084431125,-2.0,0,0
-12.866095894078937,-2.0,0,0
-12.527598432911004,-2.0,0,0
-12.295317539075555,-2.0,0,0
-12.02797885822511,-2.0,0,0
-11.857889098412132,-2.0,0,0
-13.489430988000247,-2.0,0,1
-12.287961552315348,-2.0,0,1
-12.245019564897072,-2.0,0,1
-12.132136238099704,-2.0,0,1
-11.966652708089674,-2.0,0,1
-11.741531386294591,-2.0,0,1
-13.134636264129936,-2.0,0,2
-12.24676444060063,-2.0,0,2
-12.193549186682578,-2.0,0,2
-12.149333084636854,-2.0,0,2
-12.034682472195518,-2.0,0,2
-11.999277019301886,-2.0,0,2
-13.489430988000223,-2.0,0,3
-12.287961552315345,-2.0,0,3
-12.245019564897103,-2.0,0,3
-12.132136238099719,-2.0,0,3
-11.966652708089693,-2.0,0,3
-11.74153138680382,-2.0,0,3
-13.975322315289272,-2.0,1,0
-12.47543685062346,-2.0,1,0
-12.38480594141849,-2.0,1,0
-12.04771481573423,-2.0,1,0
-11.72651381702779,-2.0,1,0
-11.677846048558083,-2.0,1,0
-13.272338497032509,-2.0,1,1
-12.471147114673444,-2.0,1,1
-12.204520015660124,-2.0,1,1
-12.13629678210059,-2.0,1,1
-12.071594349202615,-2.0,1,1
-11.825102920410712,-2.0,1,1
-13.232268407019673,-2.0,1,2
-12.814875074663728,-2.0,1,2
